Year    Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec     Annual
1971	19.2	28.2	35.6	48.7	57.5	75.8	72.6	72.4	70.4	62.2	42.0	36.6	51.8
1972	22.5	25.5	34.7	46.9	61.6	66.1	74.4	73.4	64.8	50.2	37.5	25.2	48.6
1973	28.6	30.2	45.1	48.6	55.7	72.8	76.3	76.6	67.0	58.5	41.9	27.5	52.4
1974	25.1	27.0	38.8	52.1	56.8	66.6	75.3	72.0	61.5	53.5	40.9	31.1	50.1
1975	27.9	26.9	34.1	43.5	63.0	72.1	76.1	76.3	61.4	56.5	47.1	31.5	51.4
1976	20.0	35.7	43.1	52.8	56.5	71.7	74.8	71.5	64.5	48.6	32.8	20.0	49.3
1977	10.1	26.9	44.6	54.6	69.2	69.7	78.5	71.8	65.8	51.8	40.6	24.7	50.7
1978	15.9	16.8	32.4	47.9	58.9	69.0	72.6	73.4	70.2	51.6	42.4	26.1	48.1
1979	12.4	16.7	35.4	44.6	59.5	69.3	72.8	71.6	65.8	53.7	40.5	34.1	48.0
1980	22.5	21.5	32.6	46.5	59.7	65.3	75.7	75.7	66.0	48.4	39.9	28.0	48.5
1981	22.6	28.0	37.6	51.8	55.3	69.8	72.5	71.2	61.7	49.0	40.8	24.9	48.8
1982	12.1	21.5	35.0	44.5	64.3	62.1	74.0	68.8	62.1	53.2	39.1	35.9	47.7
1983	26.3	30.4	37.4	43.4	53.2	69.7	76.7	77.3	64.6	52.8	41.1	14.3	48.9
1984	17.1	33.9	29.5	45.8	55.5	70.3	70.3	72.8	61.0	54.7	37.9	31.0	48.3
1985	14.4	20.3	39.4	52.6	60.1	63.6	71.3	69.2	65.4	52.5	37.7	17.0	47.0
1986	22.8	23.9	40.4	51.4	59.4	66.3	74.9	68.5	66.8	53.7	36.0	30.6	49.6
1987	25.9	33.8	40.8	50.6	63.4	72.4	76.7	71.8	65.0	47.2	43.8	32.1	52.0
1988	19.7	22.7	38.0	48.2	61.0	71.7	76.8	76.8	65.8	46.0	41.7	27.7	49.7
1989	32.4	19.6	36.5	46.8	57.8	67.4	73.9	71.4	62.0	54.0	37.7	17.4	48.1
1990	33.9	31.3	41.3	49.8	56.2	69.6	71.7	71.8	65.9	51.5	44.6	28.6	51.4
1991	20.7	31.0	40.4	52.0	65.6	71.9	75.5	73.6	63.7	53.2	35.2	30.2	51.1
1992	28.1	33.3	37.5	46.1	56.9	64.9	69.3	67.0	62.7	50.4	38.2	28.6	48.6
1993	26.2	24.3	34.1	45.0	59.7	66.4	74.3	73.3	59.2	49.5	38.7	29.8	48.4
1994	15.9	22.0	38.4	51.1	58.2	70.2	73.4	68.7	66.8	54.7	44.4	34.7	49.9
